Race : 2106
{place=1, name='Vars B Hopkins', school='Hopkins', grade=12, gender='M', time=934.98}
{place=2, name='Vars D Tonka', school='Minnetonka', grade=12, gender='M', time=937.21}
{place=3, name='Vars E Edina', school='Edina', grade=13, gender='M', time=957.93}
{place=4, name='Vars E Wayzata', school='Wayzata', grade=12, gender='M', time=971.72}
{place=5, name='Vars F Wayzata', school='Wayzata', grade=12, gender='M', time=994.67}
{place=6, name='Vars B Edina', school='Edina', grade=13, gender='M', time=1035.24}
{place=7, name='Vars F Hopkins', school='Hopkins', grade=12, gender='M', time=1085.42}
{place=8, name='Vars F Edina', school='Edina', grade=13, gender='M', time=1176.53}
{place=9, name='Vars D Edina', school='Edina', grade=13, gender='M', time=1233.23}
